mz_time	JDC_20160102_LU.CT22_001	JDC_20160102_LU.CT23_001	JDC_20160102_LU.CT24_001	JDC_20160102_LU.CT48_001	JDC_20160102_LU.CT50_001	JDC_20160102_LU.CTH26_001	JDC_20160102_LU.CTH28_001	JDC_20160102_LU.CTH46_001	JDC_20160102_LU.CTH47_001	JDC_20160102_LU.CTH49_001
99.01199503_260.286	11569112.1	11205091.54	6448245.405	5946907.775	5586584.584	7110560.24	16533047.15	9288342.021	7919608.349	8725376.577
99.01199671_363.221	50537415.47	54662317.41	12959753.98	14136134.85	54845844.97	41833875.37	48721493.4	34163367.57	59835720.03	18419581.43
99.01338624_116.929	77738369.31	51757293.79	42227703.33	57471654.14	87505925.51	41674304.7	59193827.44	54799342.31	57112278.19	78346226.54
99.01339994_46.3372	19660555.48	27822485.45	58397912.45	56691309.45	61606685.86	41771652.4	22639011.34	113090726.1	86390648.25	54904996.58
99.04377247_132.6145	2051063.135	3216548.262	1082148.361	3977733.617	4432109.23	2336715.425	3626717.941	2704002.4	5077901.39	4698411.745
99.0437823_115.141	51529851.82	1826352.077	1725972.004	17651984.1	19012223.33	13600503.26	1884017.209	2917037.948	2197383.69	18389738.71
99.08014819_134.618	1281788.101	1110971.277	902852.4961	1458068.052	1650005.301	1149486.521	1642174.258	1017827.362	647447.1637	1653148.222
99.08015254_42.5288	301244.5697	386679.4979	1090965.653	1154183.17	1245607.745	813776.2824	367394.6494	1320240.34	1036707.517	1126029.207
99.51195318_46.0808	494007.8171	3254887.516	1226046.624	10721937.29	1537698.359	1864638.304	571058.9921	2107057.423	41399878.29	8028943.138
99.51193918_116.1855	15901555.98	5903327.612	32844449.59	18939155.13	35647586.87	21198050.28	901373.2086	16388122.2	28465624.55	14244445.05
99.51192814_25.9858	3064007.22	590923.9151	668563.7225	1483273.813	23344131.8	11855238.44	10512500.28	15917954.25	24354553.98	23949709.52
99.51191232_2.36813	5495488.121	7275304.491	7019711.647	18216764.18	25980582.82	8982057.228	4914845.796	9872884.988	19415655.26	12315926.57
99.51192504_92.6255	9155174.019	8207015.717	10106427.77	16652499.73	19103534.06	8103730.641	8237224.546	14865563.76	26790844.86	12394861.84
99.51193239_307.76	144987565.1	138112374.8	87644816.56	105782274.8	101169061	96645234.16	153829877.3	98317776.14	100058804.9	105335093.2
99.53083375_319.061	37361612.88	31286699.16	28535833.58	29781366.12	26576409.8	29498991.03	33090312.03	26390135.24	27723516	28422912.5
99.56518952_337.702	1819959.856	3639844.656	4291623.544	5089670.236	4293247.59	1489228.839	385326.2884	2079959.139	2804730.908	3758779.189
